Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,10p / 50V,
C2,0805,1,1n / 50V,
C3,0805,1,1u / 50V,
C4,0805,1,100n,
D1,0805,1,RED,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_Pad_Via,4,MountingHole_Pad,
J1,DELTRON 4mm banana socket - red,1,Banana plug,
J2,DELTRON 4mm banana socket - black,1,Banana plug,
J3,PinHeader_1x02_P2.54mm_Vertical,1,power,
J4,USB_Mini-B_Lumberg_2486_01_Horizontal,1,USB_B_Mini,
"JP1, JP2, JP3",PinHeader_1x02_P2.54mm_Vertical,3,Jumper_2_Bridged,
JP4,PinHeader_1x03_P2.54mm_Vertical,1,Jumper_3_Open,
R1,0805,1,680R,
"TP1, TP2, TP3, TP4",KEYS4952,4,TestPoint,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,ACS712,
